CountryCode;Date;E1_Income support;E2_Debt/contract relief;E3_Fiscal measures;E4_International support;H4_Emergency investment in healthcare;H5_Investment in vaccines
ABW;2020-02-24;0;0;0.0;0.0;0.0;0.0
ABW;2020-02-25;0;0;0.0;0.0;0.0;0.0
ABW;2020-02-26;0;0;0.0;0.0;0.0;0.0
ABW;2020-02-27;0;0;0.0;0.0;0.0;0.0
ABW;2020-02-28;0;0;0.0;0.0;0.0;0.0
ABW;2020-02-29;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-01;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-02;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-03;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-04;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-05;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-06;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-07;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-08;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-09;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-10;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-11;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-12;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-13;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-14;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-15;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-16;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-17;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-18;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-19;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-20;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-21;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-22;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-23;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-24;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-25;0;0;0.0;0.0;0.0;0.0
ABW;2020-03-26;0;0;0.0;0.0;0.0;0.0
